URLs,domain,protocol,ip_addr,get_period,average_word_len,path_length,check_double_slash,containsAt,sub_dir,containsHyphen,countQueries,Label
https://sekabetgiriskayit.blogspot.com/,sekabetgiriskayit.blogspot.com,0,0,0,0,0,0,0,3,0,0,1
http://www.kidscoloringpdf.com/wp-content/xxx/2020dhl_topscript/dhl_topscript/source/index.php,kidscoloringpdf.com,0,0,0,0,1,1,0,8,1,0,1
http://kashmir-packages.com/.well-known/wp/login.php?cmd=login_submit&amp;amp;id=d4150c2c4dde8501a9d12857bc506bd5d4150c2c4dde8501a9d12857bc506bd5&amp;amp;session=d4150c2c4dde8501a9d12857bc506bd5d4150c2c4dde8501a9d1285,kashmir-packages.com,0,0,0,1,0,1,0,5,2,2,1
http://newsimdigital.com/doc,newsimdigital.com,0,0,0,0,0,1,0,3,0,0,1
https://secure07c-secure-user-verification.serveuser.com/Login/Home/login.php,secure07c-secure-user-verification.serveuser.com,0,0,0,0,0,0,0,5,3,0,1
http://stg.qureshimedia.com/wp-includes/thermo/home/?sslchannel=true&sessionid=blTPw6JDcKBEBZ3UYBjHQM73L6piJu1VPULm1uZdfBSQAVKzx3hnQoqBuPUekV9aQUwRpv4F6WvHSghp,stg.qureshimedia.com,0,0,0,1,0,1,0,6,1,1,1
https://three-keychain-info.co.uk,three-keychain-info.co.uk,0,0,0,0,0,0,0,2,2,0,1
https://halifax-payee-security.net/,halifax-payee-security.net,0,0,0,0,0,0,0,3,2,0,1
http://sepcial-updater.com/review,sepcial-updater.com,0,0,0,0,0,1,0,3,1,0,1
http://sdhjhkjkjhgfd.com/,sdhjhkjkjhgfd.com,0,0,0,0,0,1,0,3,0,0,1
http://halifax.secure-verified-login.com/Login.php,halifax.secure-verified-login.com,0,0,0,0,0,1,0,3,2,0,1
http://qanfin.com/entscheidung-522603576371783577&amp;cgi3-viewkontakt-522603576371783577-007acctpagetype-522603576371783577=488050-gesendet&amp;info@eurostarter.de.html,qanfin.com,0,0,0,1,1,1,1,3,6,2,1
https://docs.google.com/forms/d/e/1FAIpQLScNUHm7wIJRT4nCgHF1u7HLjgC8fZbdA9VaxwCBkeRQBobyQA/viewform?usp=sf_link,docs.google.com,0,0,0,0,1,0,0,7,0,0,1
